Title,Year,Genre,Runtime,Awards,Metascore,imdbRating
Dogville,2003,"Crime, Drama",178 min,20 wins & 25 nominations.,59,8.1
Tais-toi quand tu parles!,1981,Comedy,89 min,N/A,N/A,5
This Old Cub,2004,"Documentary, Sport",86 min,N/A,53,8.2
Mayor of the Sunset Strip,2003,"Documentary, Biography, Music",94 min,1 win & 1 nomination.,71,7.1
Two Men Went to War,2002,"Comedy, War, Drama",109 min,N/A,57,6.7
Ned Kelly,2003,"Action, Adventure, Biography",110 min,3 wins & 14 nominations.,56,6.5
Raja,1995,"Comedy, Drama, Romance",168 min,2 wins & 1 nomination.,N/A,5.3
I'll Sing for You,2001,"Documentary, Biography, Drama",76 min,N/A,61,7.5
Hellboy,2004,"Action, Fantasy, Horror",122 min,3 wins & 22 nominations.,72,6.8
Home on the Range,2004,"Animation, Comedy, Family",76 min,5 nominations.,50,5.4
Walking Tall,2004,"Action, Crime",86 min,2 nominations.,44,6.2
The Prince and Me,2004,"Comedy, Romance",111 min,1 nomination.,47,5.9
"Spring, Summer, Fall, Winter... and Spring",2003,Drama,103 min,13 wins & 8 nominations.,85,8.1
Shaolin Soccer,2001,"Action, Comedy, Sport",87 min,12 wins & 12 nominations.,68,7.3
The United States of Leland,2003,Drama,108 min,1 win & 2 nominations.,37,7.2
The Delicate Art of Parking,2003,Comedy,86 min,5 wins & 4 nominations.,N/A,6.4
,,,,,,
,,,,,,
Son frère,2003,Drama,92 min,2 wins & 4 nominations.,78,6.9
Tamala 2010: A Punk Cat in Space,2002,"Animation, Comedy, Drama",92 min,2 wins.,56,6.6
The Outskirts,2016,Comedy,95 min,N/A,N/A,N/A
Marathon,2005,"Biography, Drama, Sport",117 min,6 wins & 2 nominations.,N/A,7.9
Johnson Family Vacation,2004,Comedy,97 min,3 nominations.,29,4.3
Ella Enchanted,2004,"Comedy, Family, Fantasy",96 min,1 nomination.,53,6.3
The Alamo,2004,"Drama, History, War",137 min,1 nomination.,47,6
The Whole Ten Yards,2004,"Comedy, Crime, Thriller",98 min,1 nomination.,24,5.5
The Girl Next Door,2004,"Comedy, Drama, Romance",108 min,2 wins & 4 nominations.,47,6.8
Dans une galaxie près de chez vous - Le film,2004,"Adventure, Comedy, Sci-Fi",109 min,6 nominations.,N/A,7
I'm Not Scared,2003,"Crime, Drama, Mystery",108 min,11 wins & 14 nominations.,73,7.5
Masti,2004,"Comedy, Crime, Mystery",166 min,2 wins & 2 nominations.,N/A,6.1
Twentynine Palms,2003,Drama,119 min,1 win & 2 nominations.,43,5.2
Showboy,2002,"Comedy, Drama",93 min,2 wins.,37,5.6
Shade,2003,"Crime, Thriller",101 min,N/A,40,6.4
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",137 min,Nominated for 2 Golden Globes. Another 19 wins & 71 nominations.,83,8
The Punisher,2004,"Action, Crime, Drama",124 min,1 win & 5 nominations.,33,6.5
Connie and Carla,2004,"Comedy, Crime, Music",98 min,1 win.,44,6.3
Young Adam,2003,"Crime, Drama",98 min,7 wins & 16 nominations.,67,6.5
Gypsy 83,2001,"Drama, Romance",94 min,4 wins & 1 nomination.,47,7
Big Ain't Bad,2002,Drama,108 min,N/A,N/A,5.6
Close Call,2004,"Action, Crime, Drama",93 min,N/A,N/A,4
Klezmer on Fish Street,2004,Documentary,85 min,N/A,N/A,6.7
Clifford's Really Big Movie,2004,"Animation, Family",73 min,N/A,49,5.5
Man on Fire,2004,"Action, Crime, Drama",146 min,1 win & 7 nominations.,47,7.7
This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,2003,Documentary,89 min,N/A,76,6.2
,,,,,,
13 Going on 30,2004,"Comedy, Fantasy, Romance",98 min,11 nominations.,57,6.1
The Twilight Samurai,2002,Drama,129 min,Nominated for 1 Oscar. Another 37 wins & 7 nominations.,82,8.1
L'incomparable mademoiselle C.,2004,Comedy,103 min,N/A,N/A,6.3
Silmido,2003,"Action, Drama",135 min,7 wins.,N/A,7.2
The Agronomist,2003,"Documentary, Biography, History",90 min,3 wins & 2 nominations.,82,7.5
Close Your Eyes,2002,"Crime, Horror, Mystery",108 min,5 wins & 2 nominations.,45,6.2
Faster & Faster,2004,N/A,49 min,N/A,N/A,7.8
Mean Girls,2004,Comedy,97 min,7 wins & 22 nominations.,66,7
Laws of Attraction,2004,"Comedy, Romance",90 min,2 nominations.,38,5.9
Godsend,2004,"Drama, Horror, Sci-Fi",102 min,N/A,24,4.8
Envy,2004,Comedy,99 min,1 nomination.,31,4.8
Bobby Jones: Stroke of Genius,2004,"Biography, Drama, Romance",120 min,1 nomination.,45,6.7
Main Hoon Na,2004,"Action, Comedy, Romance",179 min,8 wins & 34 nominations.,N/A,7
Monica la mitraille,2004,Drama,125 min,1 win & 10 nominations.,N/A,6.7
The Saddest Music in the World,2003,"Comedy, Musical",100 min,6 wins & 7 nominations.,78,7.2
,,,,,,
Since Otar Left,2003,Drama,103 min,12 wins & 5 nominations.,85,7.6
Mickey,1918,"Comedy, Drama",93 min,N/A,N/A,7.5
