Title,Year
Big Bad Wolves,
Will You Still Love Me Tomorrow,
Life of a King,
Indigo Children,
Summer in February,
Anohana The Movie: The Flower We Saw That Day,
Knights of Badassdom,
"I, Frankenstein",
Gloria (2014),
Gimme Shelter,
Jai Ho,
Stranger By the Lake,
Visitors ,2014
Run and Jump,
Aatsinki: The Story of Arctic Cowboys,
Papirosen,
Mercedes Sosa: The Voice of Latin America,
That Awkward Moment,
Labor Day,
2014 Oscar Nominated Short Films,
Tim's Vermeer,
12 O'Clock Boys,
At Middleton,
Peter Brook: The Tightrope,
Love is in the Air,
Afternoon of a Faun,
The LEGO Movie,
The Monuments Men,
Vampire Academy,
Hasee Toh Phasee,
The Attorney,
Sinbad: The Fifth Voyage,
Kids For Cash,
Alphaville (2013 re-release),
The Last Of The Unjust,
7 Boxes,
A Field in England,
The Pretty One,
Love and Air Sex,
Cavemen,
Demi-Soeur,
RoboCop (2014),
About Last Night (2014),
Endless Love (2014),
Winter's Tale,
Beijing Love Story,
Girl on a Bicycle,
"Je T'aime, Je T'aime (2014 re-issue)",
Jimmy P,
Adult World,
Child's Pose,
3 Days to Kill,
Pompeii,
The Wind Rises,
Highway (2014),
In Secret,
Omar,
Elaine Stritch: Shoot Me,
Southern Baptist Sissies,
Barefoot,
Almost Human,
Black Out,
Souldier,
Non-Stop,
Son of God,
The Lunchbox,
 Anchorman 2: The Legend Continues,
Repentance,
Stalingrad ,2013
Shaadi Ke Side Effects,
Ernest & Celestine,
The Bag Man,
Two Lives,
Fatal Assistance,
Short Peace,
Particle Fever,
Mr. Peabody & Sherman,
300: Rise of An Empire,
The Grand Budapest Hotel,
The Face of Love,
Bethlehem,
Beyond Sight: The Derek Rabelo Story,
Grand Piano,
Journey to the West,
War of the Worlds: Goliath,
Special ID,
The Only Real Game,
Skinless,
Need for Speed,
Tyler Perry's The Single Moms Club,
Bad Words,
Veronica Mars,
Le Week-End,
Enemy,
On My Way,
Better Living Through Chemistry,
Art of the Steal,
Big Men,
The Retrieval,
Shirin in Love,
Teenage,
Tiger & Bunny The Movie: The Rising,
The Word,
The Right Kind of Wrong,
Infliction,
The Missing Picture,
Divergent,
God's Not Dead,
Muppets Most Wanted,
50 to 1,
Nymphomaniac: Volume I,
Jodorowsky's Dune,
Rob the Mob,
Anita,
Just a Sigh,
Cheap Thrills,
A Birder's Guide to Everything,
Blood Ties (2014),
It Felt Like Love,
The French Minister,
Gang of Ghosts,
French Gigolo (Cliente),
McCanick,
Noah,
Sabotage (2014),
Cesar Chavez,
The Raid 2,
Finding Vivian Maier,
Mistaken for Strangers,
Breathe In,
Veil of Tears,
Dishkiyaoon,
"No God, No Master",
Jews of Egypt,
Hide Your Smiling Faces,
Locker 13,
Refuge,
Dom Hemingway,
Captain America: The Winter Soldier,
Island of Lemurs: Madagascar ,2014
Under the Skin ,2013
Frankie & Alice ,
Nymphomaniac: Volume II,
The Unknown Known,
Main Tera Hero,
The Galapagos Affair: Satan Came to Eden,
Jinn,
Alan Partridge: The Movie,
Afflicted ,2013
Watermark,
Ilo Ilo,
One Day Pina Asked...,
Alien Abduction,
The Players,
On the Other Side of the Tracks,
Flex is Kings,
Rio 2,
Draft Day,
Oculus,
The Railway Man,
Only Lovers Left Alive,
Joe ,2014
Dancing in Jaffa,
Redwood Highway,
Cuban Fury,
Hateship Loveship,
Hank and Asha,
The Butterfly Room,
Heaven is for Real,
Transcendence,
Bears,
A Haunted House 2,
Fading Gigolo,
2 States,
That Demon Within,
